,Disease,Description,Symptoms,Symptoms+Description
21,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
22,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
23,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
24,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
25,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
26,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
27,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
28,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
29,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
30,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
31,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
32,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
33,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
34,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
35,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
36,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
37,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
38,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
39,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
40,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
41,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
42,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
43,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
44,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
45,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
46,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
47,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
48,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
49,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
50,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
51,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
52,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
53,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
54,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
55,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
56,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
57,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
58,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
59,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
60,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
61,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
62,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
63,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
64,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
65,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
66,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
67,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
68,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
69,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
70,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
71,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
72,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
73,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
74,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
